City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,Puerto Ayora,-0.7393,-90.3518,68.56,85,87,5.99,EC,2022-11-11 07:03:39
97,Semenivka,52.1783,32.5818,45.55,96,100,7.11,UA,2022-11-11 07:08:53
98,Sitka,57.0531,-135.33,39.09,87,100,8.05,US,2022-11-11 07:08:54
99,Minab,27.1467,57.0801,88.12,34,3,1.61,IR,2022-11-11 07:08:54
100,Kaitangata,-46.2817,169.8464,57.79,74,100,10.09,NZ,2022-11-11 07:08:54
101,Kichera,55.9375,110.0997,23.41,83,100,3.38,RU,2022-11-11 07:08:55
102,Ginir,7.1333,40.7,63.63,71,73,7.02,ET,2022-11-11 07:08:55
103,Derzhavinsk,51.1,66.3167,33.46,81,98,19.1,KZ,2022-11-11 07:08:56
104,Cayenne,4.9333,-52.3333,73.44,100,100,0.0,GF,2022-11-11 07:08:56
105,Prieska,-29.6641,22.7474,81.14,34,100,21.39,ZA,2022-11-11 07:08:56
106,Bethel,41.3712,-73.414,56.62,86,100,2.91,US,2022-11-11 07:02:19
107,Caravelas,-17.7125,-39.2481,74.34,90,20,6.51,BR,2022-11-11 07:08:57
108,Kavaratti,10.5669,72.642,82.63,64,100,7.27,IN,2022-11-11 07:08:57
109,Kenai,60.5544,-151.2583,32.14,100,100,3.44,US,2022-11-11 07:08:58
110,Mahebourg,-20.4081,57.7,81.25,69,5,8.41,MU,2022-11-11 07:04:20
111,Fortuna,40.5982,-124.1573,40.35,100,75,5.75,US,2022-11-11 07:08:58
112,Port Alfred,-33.5906,26.891,72.19,70,81,23.02,ZA,2022-11-11 07:02:10
113,Yellowknife,62.456,-114.3525,14.56,85,26,15.99,CA,2022-11-11 07:04:47
114,Pevek,69.7008,170.3133,2.53,95,100,4.34,RU,2022-11-11 07:03:26
115,Bandarbeyla,9.4942,50.8122,82.8,62,5,16.67,SO,2022-11-11 07:04:51
116,Willmar,45.1219,-95.0433,24.75,79,100,17.27,US,2022-11-11 07:08:59
117,Obo,5.3998,26.4869,76.37,74,98,1.21,CF,2022-11-11 07:08:59
118,Mawlaik,23.6333,94.4167,85.91,46,52,2.04,MM,2022-11-11 07:08:59
119,Arraial Do Cabo,-22.9661,-42.0278,70.59,89,2,4.0,BR,2022-11-11 07:02:14
120,Bitung,1.4451,125.1824,83.25,68,79,4.85,ID,2022-11-11 07:04:51
121,Sosnovo-Ozerskoye,52.5249,111.5418,24.49,48,98,14.38,RU,2022-11-11 07:09:00
122,Roma,43.2128,-75.4557,58.82,82,0,9.22,US,2022-11-11 07:05:27
123,Chuy,-33.6971,-53.4616,60.82,96,88,8.41,UY,2022-11-11 07:03:39
124,Lorengau,-2.0226,147.2712,82.44,75,100,3.33,PG,2022-11-11 07:01:23
125,Thompson,55.7435,-97.8558,-8.34,100,77,3.2,CA,2022-11-11 07:09:01
126,Atuona,-9.8,-139.0333,77.67,81,50,14.58,PF,2022-11-11 07:02:11
127,Saldanha,-33.0117,17.9442,64.98,62,100,12.5,ZA,2022-11-11 07:03:27
128,Tirumullaivasal,11.2333,79.8333,77.02,90,100,6.44,IN,2022-11-11 07:09:01
129,Jiayuguan,39.8167,98.3,41.85,39,85,15.21,CN,2022-11-11 07:09:02
130,Altay,47.8667,88.1167,29.52,46,99,3.29,CN,2022-11-11 07:09:02
131,Itarema,-2.9248,-39.9167,78.89,76,98,14.23,BR,2022-11-11 07:05:20
132,Vanimo,-2.6741,141.3028,82.15,84,100,6.87,PG,2022-11-11 07:09:03
133,Avarua,-21.2078,-159.775,73.45,73,75,10.36,CK,2022-11-11 07:04:16
134,Karlskoga,59.3267,14.5239,56.52,89,100,17.9,SE,2022-11-11 07:10:03
135,Trairi,-3.2778,-39.2689,78.85,75,100,11.01,BR,2022-11-11 07:10:04
136,Lamu,-2.2717,40.902,86.22,71,79,9.01,KE,2022-11-11 07:10:04
137,Yar-Sale,66.8333,70.8333,7.97,96,91,7.14,RU,2022-11-11 07:10:04
138,Abomsa,9.9833,39.9833,72.66,57,100,6.17,ET,2022-11-11 07:10:05
139,Tuensang,26.2833,94.8333,77.54,41,11,3.62,IN,2022-11-11 07:10:05
140,Fairview,40.8126,-73.999,60.53,85,100,5.99,US,2022-11-11 07:10:06
141,Awjilah,29.1081,21.2869,63.09,51,0,7.49,LY,2022-11-11 07:10:06
142,Hammond,41.5834,-87.5,59.99,78,0,6.91,US,2022-11-11 07:10:06
143,Shingu,33.7333,135.9833,65.93,67,2,4.94,JP,2022-11-11 07:10:07
144,Huarmey,-10.0681,-78.1522,63.34,86,64,9.31,PE,2022-11-11 07:10:07
145,Benguela,-12.5763,13.4055,74.43,69,80,4.21,AO,2022-11-11 07:10:08
146,Zhigansk,66.7697,123.3711,1.31,97,100,3.38,RU,2022-11-11 07:10:08
147,Williams Lake,52.1415,-122.1445,11.05,92,100,3.09,CA,2022-11-11 07:10:09
148,Qaanaaq,77.484,-69.3632,-6.79,62,0,8.61,GL,2022-11-11 07:04:51
149,Talnakh,69.4865,88.3972,4.21,96,100,12.26,RU,2022-11-11 07:10:09
150,Cherskiy,68.75,161.3,-8.43,99,100,1.54,RU,2022-11-11 07:10:10
151,Shelburne,44.0787,-80.2041,56.59,69,98,15.55,CA,2022-11-11 07:10:10
152,Alofi,-19.0595,-169.9187,76.89,94,75,8.05,NU,2022-11-11 07:04:49
153,Bengkulu,-3.8004,102.2655,75.99,92,100,1.52,ID,2022-11-11 07:03:37
154,Saskylakh,71.9167,114.0833,-29.2,100,45,3.04,RU,2022-11-11 07:10:11
155,Ulagan,50.6321,87.9563,26.51,59,100,1.05,RU,2022-11-11 07:10:11
156,Portland,45.5234,-122.6762,43.74,86,40,8.99,US,2022-11-11 07:06:35
157,Umm Lajj,25.0213,37.2685,77.34,54,20,6.98,SA,2022-11-11 07:10:12
158,Contai,21.7786,87.7536,84.51,44,94,7.47,IN,2022-11-11 07:10:12
159,Ixtapa,20.7,-105.2,75.22,82,83,2.68,MX,2022-11-11 07:06:03
160,Poum,-20.2333,164.0167,76.39,73,100,13.27,NC,2022-11-11 07:10:13
161,Daru,-9.0763,143.2092,82.9,70,19,10.54,PG,2022-11-11 07:10:13
162,Bethanien,-26.502,17.1583,71.37,22,26,3.0,NA,2022-11-11 07:02:24
163,Norman Wells,65.282,-126.8329,13.15,88,100,4.03,CA,2022-11-11 07:10:14
164,Lianzhou,24.7811,112.3825,84.85,48,97,4.76,CN,2022-11-11 07:10:14
165,Iwanai,42.9744,140.5089,41.34,65,6,3.0,JP,2022-11-11 07:10:14
166,Kalmunai,7.4167,81.8167,83.5,70,61,4.68,LK,2022-11-11 07:10:15
167,Nuevo Progreso,23.1667,-97.95,72.9,78,50,6.42,MX,2022-11-11 07:10:15
168,Noumea,-22.2763,166.4572,73.38,73,52,9.98,NC,2022-11-11 07:10:15
169,Padang,-0.9492,100.3543,78.85,82,89,3.96,ID,2022-11-11 07:10:16
170,Abu Samrah,35.3029,37.1841,63.05,53,6,7.14,SY,2022-11-11 07:10:16
171,Plettenberg Bay,-34.0527,23.3716,69.4,57,0,4.32,ZA,2022-11-11 07:10:17
172,Loncoche,-39.3667,-72.6333,52.56,100,100,1.28,CL,2022-11-11 07:10:17
173,Castro,-24.7911,-50.0119,57.11,97,100,5.39,BR,2022-11-11 07:10:18
174,Beitbridge,-22.2167,30.0,72.01,77,100,19.84,ZW,2022-11-11 07:10:18
175,Luwuk,-0.9516,122.7875,86.77,68,92,3.42,ID,2022-11-11 07:10:18
176,Hobyo,5.3505,48.5268,84.06,65,35,13.96,SO,2022-11-11 07:10:19
177,Ancud,-41.8697,-73.8203,52.09,99,100,5.48,CL,2022-11-11 07:04:42
178,East London,-33.0153,27.9116,70.68,76,100,16.6,ZA,2022-11-11 07:02:11
179,Coria,39.9879,-6.5377,52.45,80,0,6.64,ES,2022-11-11 07:10:19
180,Santiago Del Estero,-27.7951,-64.2615,69.75,68,13,6.53,AR,2022-11-11 07:11:20
181,Dingle,10.9995,122.6711,84.07,77,31,12.01,PH,2022-11-11 07:11:20
182,Tuatapere,-46.1333,167.6833,57.7,75,98,3.0,NZ,2022-11-11 07:03:34
183,Wilmington,34.2257,-77.9447,75.11,88,75,11.5,US,2022-11-11 07:07:48
184,Kirensk,57.7853,108.1119,26.49,83,100,8.1,RU,2022-11-11 07:11:21
185,Pedernales,18.0384,-71.744,78.21,77,14,3.06,DO,2022-11-11 07:11:21
186,Georgetown,5.4112,100.3354,87.73,74,20,10.36,MY,2022-11-11 06:58:36
187,Goundam,16.4145,-3.6708,73.76,11,0,5.61,ML,2022-11-11 07:11:22
188,Praia,14.9215,-23.5087,73.94,83,75,8.05,CV,2022-11-11 07:11:22
189,Thinadhoo,0.5333,72.9333,81.86,77,47,15.19,MV,2022-11-11 07:11:22
190,Chokurdakh,70.6333,147.9167,-18.33,99,100,5.68,RU,2022-11-11 07:11:23
191,Chapais,49.7834,-74.8492,28.18,93,100,6.78,CA,2022-11-11 07:11:23
192,Kruisfontein,-34.0033,24.7314,66.88,54,1,6.26,ZA,2022-11-11 07:04:52
193,Namatanai,-3.6667,152.4333,81.14,80,90,5.59,PG,2022-11-11 07:11:24
194,Marondera,-18.1853,31.5519,69.76,58,98,10.31,ZW,2022-11-11 07:11:24
195,Palu,-0.8917,119.8707,84.83,82,100,3.02,ID,2022-11-11 07:11:24
196,Biltine,14.5333,20.9167,79.5,19,8,14.36,TD,2022-11-11 07:11:25
197,Slave Lake,55.2834,-114.769,6.76,96,33,3.22,CA,2022-11-11 07:11:25
198,Meulaboh,4.1363,96.1285,80.11,81,100,0.81,ID,2022-11-11 07:11:25
199,Iquique,-20.2208,-70.1431,60.84,75,48,3.4,CL,2022-11-11 07:11:08
